Cust_ID,year_in_current_job,home_ownership
14199,< 1 year,Rent
14232,2 years,Rent
14374,9 years,Home Mortgage
13998,10+ years,Home Mortgage
14520,10+ years,Rent
14172,10+ years,Own Home
13859,10+ years,Home Mortgage
13648,< 1 year,Home Mortgage
13862,5 years,Rent
13928,2 years,Rent
14357,< 1 year,Home Mortgage
14421,10+ years,Home Mortgage
13948,7 years,Home Mortgage
13595,8 years,Home Mortgage
14340,10+ years,Home Mortgage
13981,8 years,Home Mortgage
14361,5 years,Home Mortgage
14043,10+ years,Home Mortgage
14262,n/a,Rent
14394,1 year,Rent
13693,10+ years,Own Home
13959,2 years,Home Mortgage
13632,10+ years,Own Home
13943,9 years,Home Mortgage
13628,2 years,Home Mortgage
13938,10+ years,Rent
14356,2 years,Rent
13937,10+ years,Rent
13750,3 years,Rent
13602,10+ years,Own Home
14475,10+ years,Rent
13521,7 years,Home Mortgage
14118,< 1 year,Rent
